Date,Open,High,Low,Close*,
"Aug 14, 2023",448.75,451.25,445.05,449.2,
"Aug 11, 2023",453.9,453.9,444.75,448.75,
"Aug 10, 2023",458.9,459.3,449,451.75,
"Aug 09, 2023",452.35,459.9,446.9,458.65,
"Aug 08, 2023",457,457,451.05,452.35,
"Aug 07, 2023",454.1,456.55,450.95,454.9,
"Aug 04, 2023",456.3,461.4,454.25,454.95,
"Aug 03, 2023",460.1,463.75,454.3,456.05,
"Aug 02, 2023",464.6,464.8,458,460.1,
"Aug 01, 2023",466,468.85,463.8,464.8,
"Jul 31, 2023",469,469.7,463.5,465.7,
"Jul 28, 2023",467.7,469.45,463.4,468.45,
"Jul 27, 2023",474.4,475.15,461.1,465.05,
"Jul 26, 2023",464.9,473,462.05,472.25,
"Jul 25, 2023",467.9,468.5,455.4,462.3,
"Jul 24, 2023",493.45,499.7,468.15,471.35,
"Jul 21, 2023",491.8,497.7,487,490.45,
"Jul 20, 2023",479.9,493.7,476.3,492.15,
"Jul 19, 2023",472.75,480.45,468.1,478.85,
"Jul 18, 2023",472.55,474.2,471,472.5,
"Jul 17, 2023",474.5,475.8,470.6,472.35,
"Jul 14, 2023",473,475,471.35,472.9,
"Jul 13, 2023",473.9,476.75,471,472,
"Jul 12, 2023",477.75,477.75,470.45,472.3,
"Jul 11, 2023",466,474.55,466,473.15,
"Jul 10, 2023",470,470.9,463.7,465.85,
"Jul 07, 2023",473,475.5,467.6,468.4,
"Jul 06, 2023",477.35,477.4,470.5,473.9,
"Jul 05, 2023",466.35,480.65,464.3,475.1,
"Jul 04, 2023",465,468,459.8,466.35,
"Jul 03, 2023",451.6,465.95,450.05,463.25,
"Jun 30, 2023",450,451.95,446.6,451.6,
"Jun 28, 2023",445,450.6,444.5,449.35,
"Jun 27, 2023",446.1,447.2,443.15,445.1,
"Jun 26, 2023",446.9,451.4,444,445.7,
"Jun 23, 2023",447.5,447.65,442.7,444.75,
"Jun 22, 2023",448,449.65,445.85,447.65,
"Jun 21, 2023",452,454.2,445.05,447.05,
"Jun 20, 2023",454.8,454.8,450.15,452.85,
"Jun 19, 2023",454.75,455.9,452.25,453.6,
"Jun 16, 2023",449,455.6,447.9,453.1,
"Jun 15, 2023",445,448.75,444.75,448.1,
"Jun 14, 2023",446.25,447.75,443.75,444.5,
"Jun 13, 2023",441,446.4,438.3,445.4,
"Jun 12, 2023",440,440.95,433.85,436.95,
"Jun 09, 2023",435.15,444.7,435.15,438.45,
"Jun 08, 2023",445.7,445.75,441.9,442.9,
"Jun 07, 2023",444,445.65,442.75,443.95,
"Jun 06, 2023",440.8,443.6,440.4,442.8,
"Jun 05, 2023",445,446.85,440.1,440.65,
"Jun 02, 2023",440,444.9,439.8,443.4,
"Jun 01, 2023",447,447,439,439.7,
"May 31, 2023",449.3,452,442.45,445.5,
"May 30, 2023",441,451.45,441,449.9,
"May 30, 2023",2.75 Dividend,,,,
"May 29, 2023",445,451.8,444.1,449.1,
"May 26, 2023",443.4,444.75,439.5,443.6,
"May 25, 2023",436.95,442.45,434.8,441.15,
"May 24, 2023",428.3,434.75,427,433.5,
"May 23, 2023",426,431.2,424.2,429.15,
"May 22, 2023",421.95,425.75,419.1,424.75,
"May 19, 2023",420.95,423.1,411.35,419.85,
"May 18, 2023",430,432.45,418.1,419.7,
"May 17, 2023",424.15,428.95,422.6,427.6,
"May 16, 2023",430,430,423.5,423.95,
"May 15, 2023",420,428.7,419.05,427.8,
"May 12, 2023",420.4,422.7,416.05,420.45,
"May 11, 2023",427.25,427.4,418.9,420.4,
"May 10, 2023",423.95,426.35,422.2,425.35,
"May 09, 2023",432.8,433.15,421.5,423.8,
"May 08, 2023",431,433.45,429.35,431.45,
"May 05, 2023",425.95,431.9,424.35,428.75,
"May 04, 2023",425.3,427,424,424.6,
"May 03, 2023",424,428.5,422.05,427.15,
"May 02, 2023",426,427,421.2,424.45,
"Apr 28, 2023",418,428.25,413.7,425.55,
"Apr 27, 2023",412.2,417.4,411,416,
"Apr 26, 2023",412,413,409.05,412.25,
"Apr 25, 2023",408.7,413.55,407.4,411.55,
"Apr 24, 2023",410,410,404.2,408.7,
"Apr 21, 2023",400.3,409,399.05,408.25,
"Apr 20, 2023",400,402.65,397.7,400.3,
"Apr 19, 2023",396.05,401.35,396,398.75,
"Apr 18, 2023",400,402,397,398.5,
"Apr 17, 2023",392.9,402,392.9,400.15,
"Apr 13, 2023",395.5,396.6,393.7,395.6,
"Apr 12, 2023",397.75,397.8,392.1,393.55,
"Apr 11, 2023",388.55,398.1,388,396,
"Apr 10, 2023",387.35,390,384.75,388.55,
"Apr 06, 2023",386.65,390.3,384.2,387.35,
"Apr 05, 2023",378.9,387.05,378.9,386.4,
"Apr 03, 2023",384,384,378.5,378.9,
"Mar 31, 2023",382,384.5,380,383.5,
"Mar 29, 2023",380.2,384,377.15,382.75,
"Mar 28, 2023",380.2,382.35,378.15,379.75,
"Mar 27, 2023",377.95,384.4,376.35,380.2,
"Mar 24, 2023",381.5,383,378,378.7,
"Mar 23, 2023",377,382.75,374.4,380.65,
"Mar 22, 2023",376.95,378.85,374.2,377.75,
"Mar 21, 2023",378.8,378.8,374.05,376.95,
"Mar 20, 2023",373.3,379.35,372,378.8,
"Mar 17, 2023",385,385,369.65,375.55,
"Mar 16, 2023",380.6,382.35,376.85,381.45,
"Mar 15, 2023",381,384.3,378,379.4,
"Mar 14, 2023",385.7,386.45,377.2,379.7,
"Mar 13, 2023",389.2,390.9,382.5,383.65,
"Mar 10, 2023",386.95,390.2,383.5,388,
"Mar 09, 2023",392.1,393.6,385.65,387.5,
"Mar 08, 2023",388,393.15,385.1,392.4,
"Mar 06, 2023",385.9,392.5,385.25,388.15,
"Mar 03, 2023",377,385.4,376.1,384.95,
"Mar 02, 2023",379.5,379.75,374.7,375.55,
"Mar 01, 2023",374.25,380.4,373.6,378.7,
"Feb 28, 2023",382.5,384.25,375,376.7,
"Feb 27, 2023",385.1,386.8,378.1,382.2,
"Feb 24, 2023",389,389,381,385.1,
"Feb 23, 2023",384.45,394,383.1,387.6,
"Feb 22, 2023",382,384.9,380,383.85,
"Feb 21, 2023",385,385.9,381.7,382.25,
"Feb 20, 2023",384.7,387.5,381.3,384.05,
"Feb 17, 2023",381.05,384.55,379.25,383.4,
"Feb 16, 2023",382,385.25,381,382.55,
"Feb 15, 2023",381.75,382.85,378.55,382.2,
"Feb 15, 2023",6 Dividend,,,,
"Feb 14, 2023",375,387.65,373.75,386.45,
"Feb 13, 2023",373,375.15,370,374.2,
"Feb 10, 2023",372.2,376.95,370.3,371.35,
"Feb 09, 2023",374,380,372.15,374.25,
"Feb 08, 2023",374.75,377.3,371.55,375.55,
"Feb 07, 2023",383.9,383.9,368.45,373.25,
"Feb 06, 2023",382.5,388.2,379.6,383.4,
"Feb 03, 2023",381.9,382.25,372,380.65,
"Feb 02, 2023",361.6,384.7,360.4,378.6,
"Feb 01, 2023",353,365.7,329.1,361.4,
"Jan 31, 2023",346,355,341.05,352.35,
"Jan 30, 2023",346.9,351.75,341.85,344.8,
"Jan 27, 2023",341.8,348.85,341.5,346,
"Jan 25, 2023",338.9,341,335.25,339.25,
"Jan 24, 2023",337.8,340.75,337.6,338.95,
"Jan 23, 2023",336,338.15,333.05,337.75,
"Jan 20, 2023",332,335.2,329.25,334.6,
"Jan 19, 2023",334,335.65,331.65,332.15,
"Jan 18, 2023",334,336.55,332.4,334.65,
"Jan 17, 2023",330.2,333.5,329.1,332.25,
"Jan 16, 2023",330.35,332.2,327.55,330.2,
"Jan 13, 2023",329.85,332.25,326.4,328.75,
"Jan 12, 2023",333.4,333.6,328.1,329.85,
"Jan 11, 2023",335.1,335.1,331.3,331.8,
"Jan 10, 2023",337.9,338.4,332.55,333.4,
"Jan 09, 2023",336.95,341.3,336.15,338.05,
"Jan 06, 2023",334.7,337.55,333.1,335.05,
"Jan 05, 2023",328.65,333.9,328.2,333.45,
"Jan 04, 2023",331.85,332.5,326,327,
"Jan 03, 2023",331.5,333.35,330.25,331.1,
"Jan 02, 2023",330.9,334,329.65,332.85,
"Dec 30, 2022",335.4,336.75,330.5,331.55,
"Dec 29, 2022",334.35,335.75,331.55,335.35,
"Dec 28, 2022",332.85,335,331.5,334.4,
"Dec 27, 2022",335.6,336.4,330.15,333.15,
"Dec 26, 2022",326.5,335.1,325.5,334.6,
"Dec 23, 2022",330.9,331.9,325.35,326.7,
"Dec 22, 2022",335.65,337.4,329.9,332.45,
"Dec 21, 2022",341,341.25,334.5,335.15,
"Dec 20, 2022",340.05,340.95,336.75,340.15,
"Dec 19, 2022",336.8,342.35,335.35,340.5,
"Dec 16, 2022",337.5,338.9,331.3,335.1,
"Dec 15, 2022",344.75,346.1,338,338.85,
